"","year","ccode","worldbank","country","iso2c","un","scode","wbregion","iso3c","polity","polity2","democ","autoc","unreg","physint","speech","new_empinx","wecon","wopol","wosoc","elecsd","gdp.pc.wdi","gdp.pc.un","pop.wdi","amnesty","statedept","milper","cinc","bdeadbest","INGO_uia","domestic9","rt_code","nyt","amnesty.uas","region","muslim","nyt.lagged"
"25",1980,160,"ARG","Argentina","AR",32,"ARG","South America","ARG",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,2736.89737769562,2685.43963206078,28120135,5,4,155,0.006522,0,745,0,"ARG",5,NA,"LA",0,NA
"26",1980,165,"URY","Uruguay","UY",858,"URU","South America","URY",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,3485.57743270028,3649.91845447008,2915735,4,3,28,0.0006254,0,430,0,"URY",2,NA,"LA",0,NA
"27",1980,200,"GBR","United Kingdom","GB",826,"UKG","Northern Europe","GBR",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,10070.2851869357,9625.0249052961,56314216,1,1,330,0.02491,80,1380,1562,"GBR",2,NA,"West",1.60000002384186,NA
"28",1980,205,"IRL","Ireland","IE",372,"IRE","Northern Europe","IRL",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,6366.07472704266,6281.74416223538,3412800,1,1,19,0.0005667,0,630,0,"IRL",2,NA,"West",0.109999999403954,NA
"29",1980,210,"NLD","Netherlands","NL",528,"NTH","Western Europe","NLD",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,13562.5607861167,12832.8650100561,14149800,NA,1,107,0.006457,0,1318,125,"NLD",0,NA,"West",3,NA
"30",1980,211,"BEL","Belgium","BE",56,"BEL","Western Europe","BEL",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,12912.9982899516,12712.2424875814,9859242,NA,1,108,0.0063528,0,1341,500,"BEL",0,NA,"West",2.5,NA
"31",1980,212,"LUX","Luxembourg","LU",442,"LUX","Western Europe","LUX",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,17225.9399834456,16393.597193821,364150,NA,1,1,0.0011274,0,533,0,"LUX",0,NA,"West",NA,NA
"32",1980,220,"FRA","France","FR",250,"FRN","Western Europe","FRA",8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,12739.33013454,12513.0795810567,55224670,2,1,575,0.0238516,0,1457,0,"FRA",0,NA,"West",1,NA
"33",1980,225,"CHE","Switzerland","CH",756,"SWZ","Western Europe","CHE",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,18785.0364373183,17851.8854513685,6319408,2,1,23,0.0015713,0,1264,312,"CHE",0,NA,"West",2.20000004768372,NA
"34",1980,230,"ESP","Spain","ES",724,"SPN","Southern Europe","ESP",9,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,6200.33627034647,6027.30256019437,37439035,3,2,356,0.0117239,91,1091,2875,"ESP",3,NA,"West",1.20000004768372,NA
"35",1980,235,"PRT","Portugal","PT",620,"POR","Southern Europe","PRT",9,9,9,0,NA,NA,NA,NA,NA,NA,NA,NA,3368.6983695763,3323.82195928373,9766312,2,1,88,0.0017101,0,695,250,"PRT",0,NA,"West",0,NA
"36",1980,260,"DEU","Germany West","DE",280,"GFR","Western Europe","DEU",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,12092.3818542945,NA,78288576,2,1,490,0.0319689,0,NA,NA,"DEU",0,NA,"West",1.70000004768372,NA
"37",1980,265,"","Germany East","DD",278,"GDR","Eastern Europe","DDR",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,228,0.0091138,0,NA,0,"DDR",0,NA,"EECA",0,NA
"38",1980,290,"POL","Poland","PL",616,"POL","Eastern Europe","POL",-6,-6,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1622.53464778019,35574150,3,3,408,0.0162278,0,670,500,"POL",0,NA,"EECA",0,NA
"39",1980,305,"AUT","Austria","AT",40,"AUS","Western Europe","AUT",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,10843.3617230332,10749.2530458241,7549433,NA,1,40,0.0027046,0,1104,250,"AUT",0,NA,"West",2.09999990463257,NA
"40",1980,310,"HUN","Hungary","HU",348,"HUN","Eastern Europe","HUN",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,2324.44350290332,10711122,2,2,120,0.0039857,0,605,0,"HUN",0,NA,"EECA",0,NA
"41",1980,315,"","Czechoslovakia","CS",200,"CZE","Eastern Europe","CSK",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3125.20515803683,NA,3,3,190,0.0090121,0,NA,0,"CSK",0,NA,"EECA",0,NA
"42",1980,325,"ITA","Italy","IT",380,"ITA","Southern Europe","ITA",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,8432.09188465942,8178.6941137488,56433883,2,1,500,0.0197606,0,1343,1937,"ITA",0,NA,"West",0,NA
"43",1980,339,"ALB","Albania","AL",8,"ALB","Southern Europe","ALB",-9,-9,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,811.397029748898,2671997,3,3,46,0.0005979,0,48,0,"ALB",0,NA,"EECA",70,NA
"44",1980,345,"MKD","Yugoslavia","MK",807,"YUG","Southern Europe","MKD",-5,-5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1895727,3,2,260,0.0055419,0,NA,NA,"MKD",1,NA,"EECA",NA,NA
"45",1980,350,"GRC","Greece","GR",300,"GRC","Southern Europe","GRC",8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,5915.40904681421,5621.46676723645,9642505,2,1,186,0.0031892,0,702,625,"GRC",0,NA,"EECA",1.29999995231628,NA
"46",1980,352,"CYP","Cyprus","CY",196,"CYP","Western Asia","CYP",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,4232.02303824361,4384.47157535556,685406,NA,1,16,0.0001898,0,181,0,"CYP",0,NA,"EECA",18,NA
"47",1980,355,"BGR","Bulgaria","BG",100,"BUL","Eastern Europe","BGR",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,2261.41723305214,1215.73683955697,8861535,3,2,188,0.0039633,0,406,0,"BGR",0,NA,"EECA",13,NA
"48",1980,360,"ROM","Romania","RO",642,"RUM","Eastern Europe","ROU",-8,-8,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1626.43012120342,22242653,3,3,211,0.0092665,0,434,0,"ROU",0,NA,"EECA",0.200000002980232,NA
"49",1980,364,"","USSR","SU",810,"USR","Eastern Europe","SVU",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,3548.87649061099,NA,NA,NA,NA,NA,0,NA,0,"SVU",6,NA,"EECA",NA,NA
"50",1980,375,"FIN","Finland","FI",246,"FIN","Northern Europe","FIN",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,11232.274564422,11091.5293738083,4779535,NA,1,36,0.0018663,0,1003,0,"FIN",0,NA,"West",0,NA
"51",1980,380,"SWE","Sweden","SE",752,"SWD","Northern Europe","SWE",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,16856.7610864306,16220.7802404007,8310531,NA,1,70,0.0038658,0,1184,250,"SWE",0,NA,"West",0,NA
"52",1980,385,"NOR","Norway","NO",578,"NOR","Northern Europe","NOR",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,15594.7852955147,15606.5288565875,4085620,NA,1,40,0.0018002,0,1030,0,"NOR",0,NA,"West",0,NA
"53",1980,390,"DNK","Denmark","DK",208,"DEN","Northern Europe","DNK",10,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,13833.1235195613,13605.881179081,5123027,NA,1,33,0.0014969,0,1145,0,"DNK",0,NA,"West",1.5,NA
"54",1980,402,"CPV","Cape Verde","CV",132,"CAP","Western Africa","CPV",-4,-4,2,6,NA,NA,NA,NA,NA,NA,NA,NA,471.654908590494,536.399639835847,301591,NA,1,4,3.64e-05,0,0,0,"CPV",0,NA,"Africa",NA,NA
"55",1980,404,"GNB","Guinea-Bissau","GW",624,"GNB","Western Africa","GNB",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,135.227343606141,627.357509931324,818280,NA,NA,4,7.76e-05,0,0,312,"GNB",0,NA,"Africa",45,NA
"56",1980,411,"GNQ","Equatorial Guinea","GQ",226,"EQG","Middle Africa","GNQ",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,229.580263629421,243.847882451087,220589,NA,NA,2,4.71e-05,0,0,0,"GNQ",0,NA,"Africa",NA,NA
"57",1980,420,"GMB","Gambia","GM",270,"GAM","Western Africa","GMB",8,8,8,0,NA,NA,NA,NA,NA,NA,NA,NA,398.89920715714,833.891997188826,604371,2,1,0,2.4e-05,0,NA,0,"GMB",0,NA,"Africa",90,NA
"58",1980,432,"MLI","Mali","ML",466,"MLI","Western Africa","MLI",-7,-7,0,7,NA,NA,NA,NA,NA,NA,NA,NA,265.370832764454,225.226445425231,6735247,3,3,7,0.0004258,0,69,2937,"MLI",0,NA,"Africa",90,NA
